date,home_team,away_team,actual,top_score,exact_hit,in_top3,in_top5,within1,dir_hit,logloss,p_actual,total_goals,xg,rps,mkt_rps
2026-06-24,Scotland,Brazil,0-3,0-1,False,False,False,False,True,2.603334246299357,0.07402634420961113,3,2.5207203803692018,0.0869105,0.042538000000000006
2026-06-24,Morocco,Haiti,4-2,2-0,False,False,False,False,True,4.540316434631669,0.010670029652363917,6,2.7598649367831767,0.04306100000000001,0.018737000000000014
2026-06-25,United States,Turkey,2-3,1-1,False,False,False,False,False,4.002030501443372,0.018278486689096495,5,2.67053834767646,0.3995725,
2026-06-25,Paraguay,Australia,0-0,1-1,False,False,True,True,False,2.246279628095864,0.1057920792052003,0,2.308030608105726,0.12407299999999999,0.08827849999999998
2026-06-25,Curaçao,Ivory Coast,0-2,0-1,False,True,True,True,True,2.0883193482002853,0.12389518560552205,2,2.5069105270187664,0.09081700000000001,0.017055999999999998
2026-06-25,Ecuador,Germany,2-1,1-1,False,False,False,True,False,2.731809203005962,0.06510140140726733,3,2.329473519096756,0.3555425,0.530888
2026-06-25,Japan,Sweden,1-1,1-0,False,True,True,True,False,2.1744358278197056,0.11367226631410378,2,2.50714893422023,0.193817,0.1533025
2026-06-25,Tunisia,Netherlands,1-3,0-2,False,False,False,True,True,2.7144282737383514,0.06624281493965785,4,2.907946354581783,0.029362000000000003,0.007592499999999999
2026-06-26,Egypt,Iran,1-1,1-1,True,True,True,True,False,1.97906851344674,0.13819790686654368,2,2.311781619847265,0.12544650000000002,0.1062725
2026-06-26,New Zealand,Belgium,1-5,0-1,False,False,False,False,True,4.761793166707644,0.008550263594798997,6,2.514525906904617,0.08838400000000002,0.0202945
2026-06-26,Cape Verde,Saudi Arabia,0-0,1-1,False,False,True,True,False,2.2460137590705105,0.10582020978154745,0,2.3077647390803726,0.124004,0.12606099999999998
2026-06-26,Uruguay,Spain,0-1,0-1,True,True,True,True,True,1.9959370746604208,0.13588625891681075,1,2.6210577599403315,0.063648,0.093668
2026-06-26,Norway,France,1-4,0-1,False,False,False,False,True,4.083311631871841,0.01685156695961084,5,2.382275817460844,0.146933,0.1092025
2026-06-26,Senegal,Iraq,5-0,1-0,False,False,False,False,True,4.944759274012642,0.007120628578109635,5,2.4186749691210316,0.12546849999999998,0.027984999999999993
2026-06-27,Algeria,Austria,3-3,1-1,False,False,False,False,False,5.034075134484909,0.006512218258527524,6,2.3084597593508467,0.12419300000000001,0.07737999999999999
2026-06-27,Jordan,Argentina,1-3,0-2,False,False,False,True,True,2.7506166343233143,0.06388845324467114,4,3.4361222618758047,0.008388000000000001,0.015624500000000001
2026-06-27,Colombia,Portugal,0-0,1-1,False,True,True,True,False,2.2489615366318003,0.10550873464687296,0,2.3107125166416624,0.12518650000000003,0.1518525
2026-06-27,DR Congo,Uzbekistan,3-1,1-1,False,False,False,False,False,3.5476687304995966,0.028791682647854686,4,2.307541417188977,0.2779400000000001,0.09462050000000002
2026-06-27,Panama,England,0-2,0-2,True,True,True,True,True,1.950882009670183,0.14214863980371217,2,2.7134856487903316,0.048708500000000016,0.016074500000000002
2026-06-27,Croatia,Ghana,2-1,1-0,False,False,True,True,True,2.368660453882687,0.09360603192960014,3,2.6162044335512933,0.06444249999999999,0.141745
2026-06-28,South Africa,Canada,0-1,0-1,True,True,True,True,True,2.0162034943996945,0.13316004951896657,1,2.40174617648037,0.13471249999999999,0.10181250000000001
2026-06-29,Brazil,Japan,2-1,1-1,False,False,True,True,True,2.4204633293097375,0.08888042701085606,3,2.35156718495696,0.1725125,0.11949049999999997
2026-06-29,Germany,Paraguay,1-1,1-1,True,True,True,True,False,2.010054544439376,0.1339813665309734,2,2.342767650839901,0.13725,0.25554249999999995
2026-06-29,Netherlands,Morocco,1-1,1-1,True,True,True,True,False,1.977267025169639,0.13844709316138656,2,2.3099801315701636,0.12495850000000001,0.1258
2026-06-30,Ivory Coast,Norway,1-2,0-1,False,False,True,True,True,2.394019280948789,0.09126213756549473,3,2.380020407937173,0.1488665,0.18961650000000002
2026-06-30,France,Sweden,3-0,2-0,False,True,True,True,True,2.1276885431950174,0.1191122988325948,3,2.9424161970847034,0.02675449999999999,0.03737599999999999
2026-06-30,Mexico,Ecuador,2-0,1-1,False,False,True,True,True,2.4559271218323526,0.08578362668874101,2,2.6622980417827202,0.1705645,0.19532499999999997
2026-07-01,England,DR Congo,2-1,2-0,False,False,True,True,True,2.384821682445082,0.09210540212512525,3,2.685647845396657,0.05294450000000001,0.03602
2026-07-01,Belgium,Senegal,3-2,1-1,False,False,False,False,True,3.99193822970605,0.018463892151175124,5,2.3180952706397266,0.21993250000000006,0.189125
2026-07-01,United States,Bosnia and Herzegovina,2-0,2-0,True,True,True,True,True,2.1128891776757963,0.12088819392806638,2,2.9427589566771526,0.05940649999999999,0.05764249999999998
2026-07-02,Spain,Austria,3-0,2-0,False,True,True,True,True,2.292787413220172,0.10098458341770018,3,2.740573938472452,0.045316000000000016,0.0411325
2026-07-02,Portugal,Croatia,2-1,1-1,False,False,True,True,True,2.4307374216412314,0.08797193624772248,3,2.343744966107731,0.18070649999999996,0.11725299999999997
2026-07-02,Switzerland,Algeria,2-0,1-1,False,False,True,True,True,2.3911339125862363,0.09152584271021279,2,2.3451548166524128,0.17910849999999995,0.162234
2026-07-03,Australia,Egypt,1-1,1-1,True,True,True,True,False,1.9881847558797099,0.13694378636248344,2,2.3208978622802348,0.129037,0.11617999999999998
2026-07-03,Argentina,Cape Verde,3-2,3-0,False,False,False,False,True,4.346085569401045,0.012957434415771529,5,3.5851042046381587,0.005905999999999998,0.013698500000000006
2026-07-03,Colombia,Ghana,1-0,2-0,False,True,True,True,True,2.1425854338327928,0.11735104710139033,1,3.0337715356257364,0.021368499999999988,0.05962399999999998
2026-07-04,Canada,Morocco,0-3,0-1,False,False,False,False,True,2.9150287602595224,0.05420247213339109,3,2.400219668487452,0.135874,0.12429700000000002
2026-07-04,Paraguay,France,0-1,0-2,False,True,True,True,True,2.006972412466289,0.13439495181937117,1,2.675144971666507,0.0543965,0.02
2026-07-05,Brazil,Norway,0-2,1-1,False,False,False,True,False,3.17510738334534,0.041789616335166875,2,2.3564338110168013,0.3993369999999999,0.45119650000000006
2026-07-05,Mexico,England,2-3,1-1,False,False,False,False,True,3.747317719260318,0.02358091172919068,5,2.619917191817131,0.2644265,0.23104249999999998
2026-07-06,United States,Belgium,1-4,1-1,False,False,False,False,True,4.34347434464147,0.012991313402913285,5,2.6214827097503446,0.247253,0.29000000000000004
2026-07-06,Portugal,Spain,0-1,0-1,True,True,True,True,True,2.0214505399109006,0.13246318252409936,1,2.3930651062758455,0.140297,0.1533485
2026-07-09,France,Morocco,2-0,1-0,False,True,True,True,True,2.2227749436515176,0.10830814244342994,2,2.410124481317233,0.13038249999999998,0.08763650000000002
2026-07-11,Norway,England,1-2,1-1,False,False,True,True,True,2.4176736199413904,0.08912872374758693,3,2.3539395853182787,0.16965000000000002,0.156517
2026-07-10,Spain,Belgium,2-1,1-0,False,False,True,True,True,2.358287048324515,0.094582099079027,3,2.5041564204194344,0.0917685,0.09867050000000002
2026-07-11,Argentina,Switzerland,3-1,1-0,False,False,False,False,True,2.905941281581013,0.05469728081972196,4,2.5021860156301226,0.09232450000000002,0.10768900000000003
